,date,time,price,change,volume,amount,type,code
325,2021-06-10,09:46:13,112.65,0.13,35,394270,买盘,000538
326,2021-06-10,09:46:15,112.78,0.13,55,619404,买盘,000538
327,2021-06-10,09:46:19,112.78,0.0,14,157875,买盘,000538
328,2021-06-10,09:46:22,112.77,-0.01,8,90223,中性盘,000538
329,2021-06-10,09:46:25,112.78,0.01,15,169112,买盘,000538
330,2021-06-10,09:46:27,112.77,-0.01,23,259322,中性盘,000538
331,2021-06-10,09:46:31,112.62,-0.15,35,394190,卖盘,000538
332,2021-06-10,09:46:33,112.62,0.0,14,157668,买盘,000538
333,2021-06-10,09:46:37,112.63,0.01,10,112625,买盘,000538
334,2021-06-10,09:46:39,112.7,0.07,8,90165,买盘,000538
335,2021-06-10,09:46:43,112.77,0.07,205,2307625,买盘,000538
336,2021-06-10,09:46:45,112.63,-0.14,16,180193,中性盘,000538
337,2021-06-10,09:46:49,112.63,0.0,28,315347,买盘,000538
338,2021-06-10,09:46:52,112.62,-0.01,23,259018,卖盘,000538
339,2021-06-10,09:46:55,112.62,0.0,40,450478,买盘,000538
340,2021-06-10,09:46:57,112.61,-0.01,20,225235,中性盘,000538
341,2021-06-10,09:47:00,112.62,0.01,26,292808,中性盘,000538
342,2021-06-10,09:47:04,112.61,-0.01,29,326571,卖盘,000538
343,2021-06-10,09:47:07,112.61,0.0,49,551788,卖盘,000538
344,2021-06-10,09:47:10,112.61,0.0,35,394120,买盘,000538
345,2021-06-10,09:47:12,112.61,0.0,16,180152,买盘,000538
346,2021-06-10,09:47:16,112.59,-0.02,2,22518,中性盘,000538
347,2021-06-10,09:47:19,112.45,-0.14,151,1698837,卖盘,000538
348,2021-06-10,09:47:21,112.5,0.05,11,123748,买盘,000538
349,2021-06-10,09:47:25,112.5,0.0,6,67531,中性盘,000538
350,2021-06-10,09:47:27,112.44,-0.06,10,112448,卖盘,000538
351,2021-06-10,09:47:31,112.44,0.0,17,191136,买盘,000538
352,2021-06-10,09:47:34,112.44,0.0,21,236050,买盘,000538
353,2021-06-10,09:47:37,112.44,0.0,28,314784,买盘,000538
354,2021-06-10,09:47:39,112.44,0.0,20,224880,买盘,000538
355,2021-06-10,09:47:43,112.48,0.04,8,89966,买盘,000538
356,2021-06-10,09:47:46,112.47,-0.01,8,89980,卖盘,000538
357,2021-06-10,09:47:48,112.5,0.03,12,134943,买盘,000538
358,2021-06-10,09:47:52,112.5,0.0,10,112498,买盘,000538
359,2021-06-10,09:47:55,112.45,-0.05,35,393710,卖盘,000538
360,2021-06-10,09:47:58,112.5,0.05,3,33750,买盘,000538
361,2021-06-10,09:48:01,112.48,-0.02,11,123709,卖盘,000538
362,2021-06-10,09:48:05,112.44,-0.04,50,562378,卖盘,000538
363,2021-06-10,09:48:07,112.44,0.0,11,123680,买盘,000538
364,2021-06-10,09:48:10,112.44,0.0,7,78707,买盘,000538
365,2021-06-10,09:48:13,112.44,0.0,10,112426,买盘,000538
